index,specs,peak_freq_pred,n_syllables_pred
0,210924-071028_uiM_tt_28s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 3 syllables visible in this spectrogram.
1,210624-094108_1s_uM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 4 syllables visible in this spectrogram.
2,210707-112111_6s_mie_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
3,210625-114034_3s_man_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 4 syllables visible in this spectrogram.
4,210914-080445_uafP_tt_1s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 10 syllables visible in this spectrogram.
5,211209-112549_uM_tt_78s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 2 syllables visible in this spectrogram.
6,220223-075957_25s_uT_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
7,211103-082228_TAN_tt_1s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
8,220120-134001_61s_TRU_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
9,210924-071430_MEZ_tt_29s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
10,210623-141552_5s_tot_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 2 syllables visible in this spectrogram.
11,210625-113350_55s_mis_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 5 syllables visible in this spectrogram.
12,210624-064957_38s_mez_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 5 syllables visible in this spectrogram.
13,210405_0699_24s_tic_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 9 syllables visible in this spectrogram.
14,210715-111006_16s_uiM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 4 syllables visible in this spectrogram.
15,220120-133810_82s_TRU_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 13 syllables visible in this spectrogram.
16,210924-075636_MEZ_tt_5s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 4 syllables visible in this spectrogram.
17,210412_0729_219s_ter_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
18,220120-133810_53s_TRU_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 12 syllables visible in this spectrogram.
19,211123-104000_TRU_tt_5s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 5 syllables visible in this spectrogram.
20,210629-075830_16s_ujfM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 2 syllables visible in this spectrogram.
21,221213-111919_41s_MUL_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 8 syllables visible in this spectrogram.
22,211215-091739_PAT_tt_27s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
23,210624-143821_4s_uM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
24,210621-120822_16s_ujfM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
25,210617-083954_9s_mul_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
26,210928-091542_TET_tt_19s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 8 syllables visible in this spectrogram.
27,211117-070643_TEL_tt_2.0s.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 6 syllables visible in this spectrogram.
28,220120-133241_52s_TRU_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
29,210621-121359_75s_ujfM_tt.jpg,Exception: 'ImagePatch' object has no attribute 'content',There are 7 syllables visible in this spectrogram.
